time	ms	value
10:19:14	1943076	1092
10:19:15	1944168	1116
10:19:16	1945284	1160
10:19:17	1946444	1140
10:19:18	1947584	1108
10:19:19	1948692	1136
10:19:20	1949828	1124
10:19:21	1950952	1100
10:19:23	1952052	1068
10:19:24	1953120	992
10:19:25	1954112	1020
10:19:26	1955132	992
10:19:27	1956124	996
10:19:28	1957120	1004
10:19:29	1958124	1012
10:19:30	1959136	1028
10:19:31	1960164	1040
10:19:32	1961204	1048
10:19:33	1962252	1052
10:19:34	1963304	1060
10:19:35	1964364	1044
10:19:36	1965408	1044
10:19:37	1966452	1008
10:19:38	1967460	1024
10:19:39	1968484	996
10:19:40	1969480	1012
10:19:41	1970492	996
10:19:42	1971488	1020
10:19:43	1972508	1036
10:19:44	1973544	1020
10:19:45	1974564	1044
10:19:46	1975608	1024
10:19:47	1976632	1052
10:19:48	1977684	1048
10:19:49	1978732	1016
10:19:50	1979748	1044
10:19:51	1980792	1032
10:19:52	1981824	1016
10:19:53	1982840	1008
10:19:54	1983848	1016
10:19:55	1984864	988
10:19:56	1985852	1008
10:19:57	1986860	1008
10:19:58	1987868	996
10:19:59	1988864	1040
10:20:00	1989904	1044
10:20:01	1990948	1048
10:20:02	1991996	1072
10:20:04	1993068	1044
10:20:05	1994112	1072
10:20:06	1995184	1084
10:20:07	1996268	1060
10:20:08	1997328	1088
10:20:09	1998416	1100
10:20:10	1999516	1096
10:20:11	2000612	1104
10:20:12	2001716	1076
10:20:13	2002792	1100
10:20:14	2003892	1100
10:20:15	2004992	1096
10:20:17	2006088	1124
10:20:18	2007212	1136
10:20:19	2008348	1128
10:20:20	2009476	1112
10:20:21	2010588	1080
10:20:22	2011668	1076
10:20:23	2012744	1072
10:20:24	2013816	1024
10:20:25	2014840	1056
10:20:26	2015896	1040
10:20:27	2016936	1088
10:20:29	2018024	1096
10:20:30	2019120	1136
10:20:31	2020256	1136
10:20:32	2021392	1120
10:20:33	2022512	1104
10:20:34	2023616	1116
10:20:35	2024732	1088
10:20:36	2025820	1088
10:20:37	2026908	1092
10:20:39	2028000	1092
10:20:40	2029092	1072
10:20:41	2030164	1044
10:20:42	2031208	1068
10:20:43	2032276	1048
10:20:44	2033324	1076
10:20:45	2034400	1080
10:20:46	2035480	1092
10:20:47	2036572	1024
10:20:48	2037596	1040
10:20:49	2038636	1060
10:20:50	2039696	1052
10:20:51	2040748	1088
10:20:52	2041836	1112
10:20:53	2042948	1132
10:20:55	2044080	1108
10:20:56	2045188	1144
10:20:57	2046332	1156
10:20:58	2047488	1144
10:20:59	2048632	1076
10:21:00	2049708	1092
10:21:01	2050800	1088
10:21:02	2051888	1092
10:21:03	2052980	1028
10:21:05	2054008	1044
10:21:06	2055052	1052
10:21:07	2056104	1040
10:21:08	2057144	1044
10:21:09	2058188	1076
10:21:10	2059264	1032
10:21:11	2060296	1056
10:21:12	2061352	1068
10:21:13	2062420	1084
10:21:14	2063504	1068
10:21:15	2064572	1096
10:21:16	2065668	1108
10:21:17	2066776	1096
10:21:18	2067872	1084
10:21:19	2068956	1096
10:21:21	2070052	1092
10:21:22	2071144	1052
